text
When does the #FakeNewsMedia start calling out #Biden? There is no plan for anything. Killing jobs, No COVID plan,… https://t.co/xmMhOzEd1y
@PGATOUR  @PGA 2022 PGA moved because of cancel culture. Sad day in America when a political party can dictate wher… https://t.co/RERPzcFyfM
#911onFOX @ImAngelaBassett I love you on 911. All your movies too. You are such a good actress. Big fan.
@GOP @GOPChairwoman First, I don’t think you should have been retained as Chairwoman. The corrupt Dems stole the el… https://t.co/17Y1D5Ilzj
Absolutely no logic to what @JoeBiden is doing. Why is cancelling energy independence? Opening the borders? Giving… https://t.co/s8Ks95GVWI
@FoxNews changed the order of their shows to help with the drop in their ratings. This network deceived us and beca… https://t.co/NOBgmHFfDr
Not even a week has gone by and @JoeBiden has made #America Bad Again. #ImpeachBiden before it is too late. This gu… https://t.co/eZFyMXAcJG
#GOP @Liz_Cheney #MAGA #Trump @HouseGOP Get her off that committee ASAP. You want to get re-elected? take the commi… https://t.co/E2z8giBMPa
#MAGA #TrumpSupporters #GOP Are we all happy with @JoeBiden? Just like going back in time to #Obama era. Kill… https://t.co/2hX4mI4Tvk
#GOP Time to get @LeaderMcConnell out of leadership. He should be supporting #Trump. The longer he stays the more d… https://t.co/B7Zrv8KntJ
@GOPLeader @LeaderMcConnell I support #Trump. #Republican politicians like you are dead to me. I would like to see… https://t.co/TTYKC6mPY7
How much of our money has the #DemocratsAreDestroyingAmerica spent to illegally take #Trump down? The latest hoax i… https://t.co/Id5LrIxEAr
#MAGA, #TrumpSupporters A sad day for our country. What a great President. #Trump Thank you Mr. President. We all a… https://t.co/4b9IS0oPUT
The crooks are in charge tomorrow. The truth is coming out #ObamaGate_TREASON. That’s why #HillaryClinton is after… https://t.co/lMqIXlZY1y
The #IllegalAliens are at the border waiting for #Biden to take office. So reassuring to know he will let them in a… https://t.co/ykAb1wFxw0
#CancelCulture strikes again. @JustinThomas34 is dropped by @RalphLauren for a homophobic slur he said when he miss… https://t.co/bZCWoTyNSS
@FoxNews Saw you were auditioning hosts for the 7PM weekday slot to get back some lost viewers. First is @kilmeade.… https://t.co/hKlihIP5vh
@SpeakerPelosi #RadicalLeft The Nazis are taking over. They are punishing anyone and everyone who doesn’t agree wit… https://t.co/2TW7VQvjkJ
#CancelCulture strikes @BelichickPats. The #RadicalLeft is so scared of #POTUS and his #TrumpSupporter. Everyday th… https://t.co/h9bgltMx4g
#TheProm Save your time. One of the worst movies ever. 👎👎👎
The Tiger Woods Doc is poorly done. Just a hit piece. We all know Tiger fucked up his personal life. To base his li… https://t.co/dsuRNKbHpY
#Republicans #GOP #CongressIsBroken Weakness only makes the #RadicalLeft abuse the #Constitution more. They will ne… https://t.co/Fcwgl0maoV
#TrumpSupporters @HawleyMO #Apple was allowed to shut down #parlershutdown? @POTUS? The war has been going on and i… https://t.co/yx7XBk1UCc
#TrumpSupporters #MAGA Where do we go for news now? #FoxNews is #Fakenews. We need a news outlet that stands up for… https://t.co/WxQiwnjidQ
#Republicans  @HawleyMO Why is @MarkZuckerbelg @jack more powerful than #POTUS? My President is censored by these 2… https://t.co/3tRFzxCXwd
