user;real_name;profile
ChocolateDivk;Chocolate_divk;https://twitter.com/ChocolateDivk
DetroitHole;The Detroit GloryHole;https://twitter.com/DetroitHole
elizabeth_ruby4;Elizabeth;https://twitter.com/elizabeth_ruby4
CullenNeed;Cullen_need_man;https://twitter.com/CullenNeed
RayRay2456;Chocolate;https://twitter.com/RayRay2456
Chicken1N;Pressure;https://twitter.com/Chicken1N
freaky19901990;mosthated313;https://twitter.com/freaky19901990
