@user;real_name;occurrence
FaceMac2;FaceMac;7
AgainstJuan;Juan Gonzalez;2
PhillBiker;Biker Phill;1
steven_pifer;Steven Pifer;1
nisky12309;ابو نظاره 🌶;1
Willie165838502;Willie13;1
Rosenchild;VonVictor V. Rosenchild;1
sandybunkered;Chris Davies;1
CarlDWhite;CarlDWhite;1
Eldeuce;Marcelino Lemos;1
